dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD,MatrixRes,GCNConv,1,3,identity,89,0.7627118644067796,0.5186397433280945,172.4434335231781,42371
DD,MatrixRes,GCNConv,1,4,identity,92,0.7711864406779662,0.5196393728256226,247.5142741203308,56451
DD,MatrixRes,GCNConv,1,5,identity,94,0.7796610169491526,0.5160738825798035,318.01895546913147,70531
DD,MatrixRes,GCNConv,1,6,identity,122,0.7627118644067796,0.5232301950454712,434.2189176082611,84611
DD,MatrixRes,GCNConv,1,7,identity,87,0.7584745762711864,0.5257736444473267,416.68966603279114,98691
DD,MatrixRes,GCNConv,1,8,identity,89,0.7457627118644068,0.5208203196525574,518.5307772159576,112771
DD,MatrixRes,GCNConv,2,1,identity,21,0.6978723404255319,0.6088780760765076,270.699832201004,14211
DD,MatrixRes,GCNConv,2,2,identity,13,0.6638297872340425,0.598853588104248,68.0761387348175,28291
DD,MatrixRes,GCNConv,2,3,identity,10,0.6680851063829787,0.609342098236084,98.47220087051392,42371
DD,MatrixRes,GCNConv,2,4,identity,12,0.6723404255319149,0.6098350882530212,126.57725715637207,56451
DD,MatrixRes,GCNConv,2,5,identity,14,0.6595744680851063,0.6047369241714478,168.2558991909027,70531
DD,MatrixRes,GCNConv,2,6,identity,17,0.6468085106382979,0.5993110537528992,209.1402497291565,84611
DD,MatrixRes,GCNConv,2,7,identity,18,0.6680851063829787,0.5964058637619019,258.12371373176575,98691
DD,MatrixRes,GCNConv,2,8,identity,16,0.6808510638297872,0.5971954464912415,280.54008746147156,112771
DD,MatrixRes,GCNConv,3,1,identity,154,0.7106382978723405,0.5806106925010681,161.58081436157227,14211
DD,MatrixRes,GCNConv,3,2,identity,48,0.7021276595744681,0.5872669816017151,93.56301951408386,28291
DD,MatrixRes,GCNConv,3,3,identity,78,0.7191489361702128,0.5901308059692383,166.6002140045166,42371
