dataset,model,operator,fold,branches,residual_mode,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,MatrixRes,GCNConv,4,B7,identity,2.062388701098306,3.067629814147949,74.0,14560.927810668945,14560.927810668945,0.5551613735774207,0.7984141111373901,0.021306584092477956,0.1405460685491562,0.0034094599541276693,0.919051529193411,0.9421907464663187,0.9848872106902453,0.9803309705522325
DD,MatrixRes,GCNConv,4,B8,identity,2.0354102786098207,3.268434762954712,86.0,16118.762294769287,16118.762294769287,0.5421287929432259,0.8008230924606323,0.009270077904540241,0.05966886878013611,0.001261542085558176,0.9056432200595737,0.9296292199028863,0.9834837866947055,0.9755105972290039
DD,MatrixResGated,GCNConv,0,B1,sparse,0.0,0.0,2.0,300.2657012939453,194.8350601196289,0.22027573982874551,0.8349041938781738,0.19140436506778416,0.8911229968070984,0.0005557244876399636,1.0,0.7620440589057075,1.0,0.8629141648610433
DD,MatrixResGated,GCNConv,0,B2,sparse,0.2129395455121994,0.2129395455121994,14.0,2473.655586242676,1805.2916831970215,0.2731895065969891,0.8534460067749023,0.12532921706636746,0.4767833650112152,0.01100463792681694,0.997206062078476,0.8837385045157539,0.9998870193958282,0.8524993393156264
DD,MatrixResGated,GCNConv,0,B3,sparse,0.697151799996694,0.7096419930458069,26.0,4502.272125244141,3385.8784370422363,0.2271542336101885,0.842203676700592,0.12744585801625535,0.5638354420661926,0.011684331111609936,0.9720498654577467,0.850078284740448,0.9936263627476163,0.8445080253813002
DD,MatrixResGated,GCNConv,0,B4,sparse,0.9845850467681885,1.3219367265701294,38.0,6564.123031616211,4844.866668701172,0.25077462585435967,0.8350512385368347,0.08654080778015433,0.3950940668582916,0.00675565842539072,0.9599960036575794,0.8639396958880954,0.9727375507354736,0.8637933731079102
DD,MatrixResGated,GCNConv,0,B5,sparse,1.2152820825576782,1.5984883308410645,50.0,8348.014129638672,6296.827096939087,0.20721797830528682,0.8601149320602417,0.06166525269773873,0.2907409071922302,0.0038882363587617874,0.9060163497924805,0.8561550312572055,0.9075279068946839,0.8081605898009406
DD,MatrixResGated,GCNConv,0,B6,sparse,1.3441937168439229,2.1698131561279297,62.0,10508.141674041748,7949.2510623931885,0.2083358320373076,0.8719269633293152,0.05443405715796428,0.2615897059440613,0.003149010706692934,0.9080049643913904,0.8633342716428969,0.8709654659032822,0.824791881773207
DD,MatrixResGated,GCNConv,0,B7,sparse,1.3848877946535747,2.4877254962921143,74.0,12458.576377868652,9426.505475997925,0.2052882305331646,0.8724591135978699,0.12019953895360232,0.6332310438156128,0.00438210554420948,0.9147098928081746,0.8733573092354668,0.8746373592590799,0.8543910913997226
DD,MatrixResGated,GCNConv,0,B8,sparse,1.4190403414624078,2.518704652786255,86.0,14631.284622192383,11062.981842041016,0.21235917463070816,0.8480662107467651,0.053843705230118596,0.2967861294746399,0.0023527664598077536,0.8845402328297496,0.8727494279543558,0.8155589131638408,0.880801154507531
DD,MatrixResGated,GCNConv,1,B1,sparse,0.0,0.0,2.0,281.3920135498047,189.16525650024414,0.1867991437514623,0.8310351967811584,0.08319842286356208,0.38618800044059753,0.0008640148444101214,1.0,0.6915854414304098,1.000000238418579,0.9644941886266073
DD,MatrixResGated,GCNConv,1,B2,sparse,0.24694591760635376,0.24694591760635376,14.0,2473.63321685791,1842.9395599365234,0.2647528019216326,0.8501087427139282,0.06086206197505817,0.24303166568279266,0.00023429986322298646,0.998188704252243,0.8183589776357015,0.9999947398900986,0.9801075524753995
DD,MatrixResGated,GCNConv,1,B3,sparse,0.9002745747566223,1.0195690393447876,26.0,5167.3967208862305,3980.695568084717,0.2732249869240655,0.8407800197601318,0.11152940482965537,0.4858112037181854,0.0009559756144881248,0.9815078841315376,0.8337896532482572,0.9997789727316962,0.9674173593521118
