artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,mean_pairwise_distance,max_pairwise_distance,pair_count
branch_diversity,DD,MatrixRes,GCNConv,2,B7,identity,20260507_094737,2.131984835579282,3.1024978160858154,21
branch_diversity,DD,MatrixRes,GCNConv,2,B8,identity,20260507_095909,2.464704313448497,4.200794696807861,28
branch_diversity,DD,MatrixRes,GCNConv,3,B1,identity,20260507_091349,0.0,0.0,0
branch_diversity,DD,MatrixRes,GCNConv,3,B2,identity,20260507_091630,0.2091800570487976,0.2091800570487976,1
branch_diversity,DD,MatrixRes,GCNConv,3,B3,identity,20260506_223325,1.1663686037063599,1.4771263599395752,3
branch_diversity,DD,MatrixRes,GCNConv,3,B3,identity,20260507_092104,1.1730448206265767,1.4951761960983276,3
branch_diversity,DD,MatrixRes,GCNConv,3,B4,identity,20260507_092640,1.6878910660743713,2.4424102306365967,6
branch_diversity,DD,MatrixRes,GCNConv,3,B5,identity,20260507_093417,1.8689225912094116,2.6646504402160645,10
branch_diversity,DD,MatrixRes,GCNConv,3,B6,identity,20260507_094314,2.163965439796448,3.3808650970458984,15
branch_diversity,DD,MatrixRes,GCNConv,3,B7,identity,20260507_095424,2.030090576126462,3.246887445449829,21
branch_diversity,DD,MatrixRes,GCNConv,3,B8,identity,20260507_100524,2.2884358295372556,4.132763862609863,28
branch_diversity,DD,MatrixRes,GCNConv,4,B1,identity,20260507_091317,0.0,0.0,0
branch_diversity,DD,MatrixRes,GCNConv,4,B2,identity,20260507_091618,0.193912535905838,0.193912535905838,1
branch_diversity,DD,MatrixRes,GCNConv,4,B3,identity,20260506_223318,1.5491546789805095,1.802734375,3
branch_diversity,DD,MatrixRes,GCNConv,4,B3,identity,20260507_092016,1.5490779876708984,1.802925705909729,3
branch_diversity,DD,MatrixRes,GCNConv,4,B4,identity,20260507_092533,1.630868375301361,2.1592912673950195,6
branch_diversity,DD,MatrixRes,GCNConv,4,B5,identity,20260507_093247,1.9896881580352783,2.92627215385437,10
branch_diversity,DD,MatrixRes,GCNConv,4,B6,identity,20260507_094131,1.7626044114430746,2.7142741680145264,15
branch_diversity,DD,MatrixRes,GCNConv,4,B7,identity,20260507_095212,2.062388701098306,3.067629814147949,21
branch_diversity,DD,MatrixRes,GCNConv,4,B8,identity,20260507_100319,2.0354102786098207,3.268434762954712,28
branch_diversity,DD,Plain,GCNConv,0,B3,identity,20260506_220121,0.49198739727338153,0.5092984437942505,3
branch_diversity,DD,Plain,GCNConv,0,B3,identity,20260506_222425,1.1659163037935893,1.3524341583251953,3
branch_diversity,DD,Plain,GCNConv,1,B3,identity,20260506_222440,1.0793409148852031,1.1926243305206299,3
branch_diversity,DD,Plain,GCNConv,2,B3,identity,20260506_222348,0.5176774164040884,0.6003319025039673,3
branch_diversity,DD,Plain,GCNConv,3,B3,identity,20260506_222519,0.9768628080685934,1.274129033088684,3
branch_diversity,DD,Plain,GCNConv,4,B3,identity,20260506_222520,1.316028654575348,1.7691055536270142,3
branch_diversity,DD,VerticalRes,GCNConv,0,B3,identity,20260506_220142,0.682408352692922,0.7385615110397339,3
branch_diversity,DD,VerticalRes,GCNConv,0,B3,identity,20260506_222633,1.551825761795044,1.5603433847427368,3
branch_diversity,DD,VerticalRes,GCNConv,1,B3,identity,20260506_222706,1.360011100769043,1.572042465209961,3
branch_diversity,DD,VerticalRes,GCNConv,2,B3,identity,20260506_222614,1.144177496433258,1.449524998664856,3
branch_diversity,DD,VerticalRes,GCNConv,3,B3,identity,20260506_222800,1.2059516509373982,1.244717001914978,3
branch_diversity,DD,VerticalRes,GCNConv,4,B3,identity,20260506_222734,1.94051327308019,2.4900176525115967,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_220151,0.4263512392838796,0.48655828833580017,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_223728,0.4263512392838796,0.48655828833580017,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,1,B3,identity,20260506_223737,1.0468888680140178,1.2965176105499268,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,2,B3,identity,20260506_223811,0.729780117670695,0.8325097560882568,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,3,B3,identity,20260506_223816,1.191458781560262,1.3890647888183594,3
branch_diversity,ENZYMES,HorizontalRes,GCNConv,4,B3,identity,20260506_223800,0.9439837137858073,1.0849794149398804,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_220157,3.1621615091959634,3.8171274662017822,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_224002,1.409268856048584,1.649351716041565,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,1,B3,sparse,20260506_224037,1.1629750728607178,1.2523852586746216,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,2,B3,sparse,20260506_224110,0.837708055973053,0.895058274269104,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,3,B3,sparse,20260506_224126,1.3810151815414429,1.4211901426315308,3
branch_diversity,ENZYMES,MatrixResGated,GCNConv,4,B3,sparse,20260506_224123,1.024871329466502,1.1109439134597778,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_220155,6.2234218915303545,7.611269474029541,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_223827,3.0137596925099692,3.7113656997680664,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,1,B3,identity,20260506_223930,1.6225277582804363,1.7662842273712158,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,2,B3,identity,20260506_223933,1.1535433133443196,1.3412812948226929,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,3,B3,identity,20260506_223939,1.6459943056106567,1.902845859527588,3
branch_diversity,ENZYMES,MatrixRes,GCNConv,4,B3,identity,20260506_224018,1.421208421389262,1.6304265260696411,3
branch_diversity,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_220147,0.2983956088622411,0.36243292689323425,3
branch_diversity,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_223546,0.34112998843193054,0.37839001417160034,3
branch_diversity,ENZYMES,Plain,GCNConv,1,B3,identity,20260506_223611,2.134157578150431,2.6349568367004395,3
branch_diversity,ENZYMES,Plain,GCNConv,2,B3,identity,20260506_223636,1.7885542313257854,2.286447048187256,3
branch_diversity,ENZYMES,Plain,GCNConv,3,B3,identity,20260506_223642,2.789018233617147,3.025487184524536,3
branch_diversity,ENZYMES,Plain,GCNConv,4,B3,identity,20260506_223630,2.009531259536743,2.4092366695404053,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,0,B3,identity,20260506_220153,0.9244590401649475,1.0110628604888916,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,0,B3,identity,20260506_223644,0.9244590202967325,1.0110628604888916,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,1,B3,identity,20260506_223655,2.0285143852233887,2.118851661682129,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,2,B3,identity,20260506_223713,1.3358275095621746,1.4933335781097412,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,3,B3,identity,20260506_223725,2.027857263882955,2.5965778827667236,3
branch_diversity,ENZYMES,VerticalRes,GCNConv,4,B3,identity,20260506_223716,1.8753019571304321,1.9416455030441284,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B1,identity,20260507_075815,0.0,0.0,0
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B2,identity,20260507_075937,0.2406240850687027,0.2406240850687027,1
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260506_220101,0.5193656583627065,0.6376182436943054,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260506_221921,0.9784160256385803,1.1882104873657227,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260507_080101,0.9991867343584696,1.205348014831543,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B4,identity,20260507_080459,1.2763392229874928,1.8971439599990845,6
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B5,identity,20260507_080928,1.3372137665748596,2.2007153034210205,10
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B6,identity,20260507_081527,1.1911092797915142,1.6470777988433838,15
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B7,identity,20260507_082054,1.4342557276998247,2.3610408306121826,21
branch_diversity,PROTEINS,HorizontalRes,GCNConv,0,B8,identity,20260507_082958,1.780128296996866,3.1074583530426025,28
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B1,identity,20260507_075823,0.0,0.0,0
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B2,identity,20260507_075956,0.2313404232263565,0.2313404232263565,1
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B3,identity,20260506_221942,0.6859226624170939,0.796923041343689,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B3,identity,20260507_080159,0.6474949022134145,0.7528652548789978,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B4,identity,20260507_080521,1.0630295475323994,1.4082458019256592,6
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B5,identity,20260507_080959,1.2208698749542237,1.9187325239181519,10
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B6,identity,20260507_081602,1.3852132916450501,1.9567214250564575,15
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B7,identity,20260507_082355,1.6574869326182775,2.780414342880249,21
branch_diversity,PROTEINS,HorizontalRes,GCNConv,1,B8,identity,20260507_083026,1.3749542853661947,2.278536796569824,28
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B1,identity,20260507_075823,0.0,0.0,0
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B2,identity,20260507_075925,0.21399086713790894,0.21399086713790894,1
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B3,identity,20260506_221939,0.7466246088345846,0.8895843625068665,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B3,identity,20260507_080133,0.7742027441660563,0.9336941838264465,3
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B4,identity,20260507_080434,1.0759976506233215,1.3592288494110107,6
branch_diversity,PROTEINS,HorizontalRes,GCNConv,2,B5,identity,20260507_080908,1.0216526687145233,1.5055774450302124,10
