artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_depth,max_cosine_depth,min_cosine_depth
cosine_depth,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,cosine_depth,0.8859289884567261,1.0,0.7946571111679077
cosine_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,cosine_depth,0.868024143907759,1.0000001192092896,0.7321149110794067
cosine_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,cosine_depth,0.8682254089249505,1.0000001192092896,0.7323726415634155
cosine_depth,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,cosine_depth,0.8813019726011488,1.0,0.7920725345611572
cosine_depth,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,cosine_depth,0.8457271589173211,1.0,0.7001896500587463
cosine_depth,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,cosine_depth,0.8829978240860833,1.0,0.7670009732246399
cosine_depth,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,cosine_depth,0.8901297781202528,1.0000001192092896,0.7964019179344177
cosine_depth,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,cosine_depth,0.8960627184973823,0.9999999403953552,0.8234813213348389
cosine_depth,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,cosine_depth,0.8147948980331421,1.0000001192092896,0.6760145425796509
cosine_depth,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,cosine_depth,0.8996525539292229,1.000000238418579,0.7713412046432495
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,cosine_depth,0.9455938074323866,1.0000001192092896,0.8934566378593445
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,cosine_depth,0.901244666841295,1.000000238418579,0.7796295881271362
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,cosine_depth,0.9306305845578512,1.0000001192092896,0.8394980430603027
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,cosine_depth,0.8736324310302734,1.0000001192092896,0.7280699014663696
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,cosine_depth,0.9005840751859877,1.0,0.7784730195999146
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,cosine_depth,0.8298073808352152,0.9999999403953552,0.6699481010437012
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,cosine_depth,0.9146740701463487,0.9999999403953552,0.7946138381958008
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,cosine_depth,0.8971827758683099,1.0,0.7681369781494141
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,cosine_depth,0.8870810270309448,1.0000001192092896,0.743063747882843
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,cosine_depth,0.8774111337131925,1.0,0.7235393524169922
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,cosine_depth,0.943504638142056,1.0000001192092896,0.8707349300384521
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,cosine_depth,0.8984431558185153,1.0000001192092896,0.7728802561759949
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,cosine_depth,0.88671965069241,1.0000001192092896,0.7428646683692932
cosine_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,cosine_depth,0.9056670599513583,1.0000001192092896,0.7868258953094482
