artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_branch,max_cka_branch,min_cka_branch
cka_branch,DD,MatrixRes,GCNConv,3,B8,identity,20260507_100524,cka_branch,0.9606914836913347,1.000000238418579,0.8751850724220276
cka_branch,DD,MatrixRes,GCNConv,4,B1,identity,20260507_091317,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixRes,GCNConv,4,B2,identity,20260507_091618,cka_branch,0.9999812841415405,1.0,0.999962568283081
cka_branch,DD,MatrixRes,GCNConv,4,B3,identity,20260506_223318,cka_branch,0.9992260138193766,1.0,0.9976857900619507
cka_branch,DD,MatrixRes,GCNConv,4,B3,identity,20260507_092016,cka_branch,0.9992255833413866,1.0,0.9976844787597656
cka_branch,DD,MatrixRes,GCNConv,4,B4,identity,20260507_092533,cka_branch,0.9971578381955624,1.0,0.9903514385223389
cka_branch,DD,MatrixRes,GCNConv,4,B5,identity,20260507_093247,cka_branch,0.9890580248832702,1.0,0.9618917107582092
cka_branch,DD,MatrixRes,GCNConv,4,B6,identity,20260507_094131,cka_branch,0.9930857717990875,1.0,0.9807989597320557
cka_branch,DD,MatrixRes,GCNConv,4,B7,identity,20260507_095212,cka_branch,0.9848872106902453,1.0,0.960398256778717
cka_branch,DD,MatrixRes,GCNConv,4,B8,identity,20260507_100319,cka_branch,0.9834837866947055,1.0,0.9523453116416931
cka_branch,DD,Plain,GCNConv,0,B3,identity,20260506_220121,cka_branch,0.5274875428941515,1.0,0.20383214950561523
cka_branch,DD,Plain,GCNConv,0,B3,identity,20260506_222425,cka_branch,0.6364972061581082,1.0,0.22460561990737915
cka_branch,DD,Plain,GCNConv,1,B3,identity,20260506_222440,cka_branch,0.7625524997711182,1.0,0.40661564469337463
cka_branch,DD,Plain,GCNConv,2,B3,identity,20260506_222348,cka_branch,0.9870022137959799,1.0,0.9712673425674438
cka_branch,DD,Plain,GCNConv,3,B3,identity,20260506_222519,cka_branch,0.8648911449644301,1.0,0.7237797379493713
cka_branch,DD,Plain,GCNConv,4,B3,identity,20260506_222520,cka_branch,0.9897890090942383,1.0,0.9783353209495544
cka_branch,DD,VerticalRes,GCNConv,0,B3,identity,20260506_220142,cka_branch,0.6409967475467258,1.0,0.3856896758079529
cka_branch,DD,VerticalRes,GCNConv,0,B3,identity,20260506_222633,cka_branch,0.6698673466841379,1.000000238418579,0.24138827621936798
cka_branch,DD,VerticalRes,GCNConv,1,B3,identity,20260506_222706,cka_branch,0.7663846347067091,1.000000238418579,0.4375731945037842
cka_branch,DD,VerticalRes,GCNConv,2,B3,identity,20260506_222614,cka_branch,0.9814396699269613,1.0,0.9605779051780701
cka_branch,DD,VerticalRes,GCNConv,3,B3,identity,20260506_222800,cka_branch,0.7912389702267117,1.0,0.5549833178520203
cka_branch,DD,VerticalRes,GCNConv,4,B3,identity,20260506_222734,cka_branch,0.9903086490101285,1.0,0.9807947874069214
