artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,residual_sites,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B6,identity,20260507_081527,24,40.0,2535.597526550293,2535.597526550293,0.255119772007068,0.7888785600662231
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B7,identity,20260507_082054,28,48.0,3110.728479385376,3110.728479385376,0.2428701493356909,0.7845707535743713
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B8,identity,20260507_082958,32,56.0,3297.9779629707336,3297.9779629707336,0.21057786245364696,0.7844915986061096
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B1,identity,20260507_075823,4,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B2,identity,20260507_075956,8,8.0,496.9839897155762,496.9839897155762,0.30733315646648407,0.7887106537818909
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B3,identity,20260506_221942,12,16.0,878.3434963226318,878.3434963226318,0.23829310045888027,0.7849678993225098
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B3,identity,20260507_080159,12,16.0,828.9880752563477,828.9880752563477,0.23021627931545177,0.785150408744812
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B4,identity,20260507_080521,16,24.0,1447.0159225463867,1447.0159225463867,0.25031711626797915,0.7918722033500671
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B5,identity,20260507_080959,20,32.0,1963.760051727295,1963.760051727295,0.23785040713846684,0.7877547144889832
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B6,identity,20260507_081602,24,40.0,2403.8490467071533,2403.8490467071533,0.25638777390122414,0.7875648140907288
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B7,identity,20260507_082355,28,48.0,3024.017134666443,3024.017134666443,0.22604530876768486,0.7864639759063721
residual_stats,PROTEINS,HorizontalRes,GCNConv,1,B8,identity,20260507_083026,32,56.0,3200.290620803833,3200.290620803833,0.26939242030493915,0.7908840179443359
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B1,identity,20260507_075823,4,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B2,identity,20260507_075925,8,8.0,606.0243110656738,606.0243110656738,0.2912190854549408,0.7937213778495789
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B3,identity,20260506_221939,12,16.0,1003.448974609375,1003.448974609375,0.23219368730982146,0.7875196933746338
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B3,identity,20260507_080133,12,16.0,1027.8265285491943,1027.8265285491943,0.22761034624030194,0.7878905534744263
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B4,identity,20260507_080434,16,24.0,1662.8715476989746,1662.8715476989746,0.22954958328045905,0.7904877662658691
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B5,identity,20260507_080908,20,32.0,2104.6953468322754,2104.6953468322754,0.23045971244573593,0.7854768633842468
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B6,identity,20260507_081438,24,40.0,2747.1783027648926,2747.1783027648926,0.2506698591945072,0.7898510098457336
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B7,identity,20260507_082132,28,48.0,3079.150192260742,3079.150192260742,0.2388195799929755,0.7862791419029236
residual_stats,PROTEINS,HorizontalRes,GCNConv,2,B8,identity,20260507_082750,32,56.0,3729.201473236084,3729.201473236084,0.2445705938152969,0.7887002229690552
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B1,identity,20260507_075842,4,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B2,identity,20260507_080005,8,8.0,558.9244842529297,558.9244842529297,0.27871907874941826,0.7923579216003418
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B3,identity,20260506_221946,12,16.0,1142.6260528564453,1142.6260528564453,0.2548592872917652,0.7907270193099976
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B3,identity,20260507_080205,12,16.0,1148.525894165039,1148.525894165039,0.2565450767676036,0.7906501889228821
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B4,identity,20260507_080632,16,24.0,1637.3801898956299,1637.3801898956299,0.233076898381114,0.7906562089920044
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B5,identity,20260507_081128,20,32.0,2091.5814819335938,2091.5814819335938,0.21483429241925478,0.7884058952331543
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B6,identity,20260507_081811,24,40.0,2774.2803993225098,2774.2803993225098,0.25069864590962726,0.7884505987167358
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B7,identity,20260507_082431,28,48.0,3160.1464805603027,3160.1464805603027,0.2489998127732958,0.7899229526519775
