artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,grad_rows,mean_grad_norm,grad_max,grad_min
gradient_by_layer,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,39,0.07414672830595802,0.3468996286392212,0.003860184922814369
gradient_by_layer,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,45,0.07121693485209511,0.32140904664993286,0.0015543980989605188
gradient_by_layer,DD,MatrixRes,GCNConv,1,B8,identity,20260507_100055,51,0.055303231930570206,0.30499255657196045,0.0002490409533493221
gradient_by_layer,DD,MatrixRes,GCNConv,2,B1,identity,20260507_091053,9,0.023899661221851904,0.0745394229888916,0.003270647954195738
gradient_by_layer,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,15,0.04520021223773559,0.1450681984424591,0.010227886959910393
gradient_by_layer,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,21,0.06080319027283362,0.2191149741411209,0.0050289686769247055
gradient_by_layer,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,21,0.06099359263178138,0.21976825594902039,0.004986271727830172
gradient_by_layer,DD,MatrixRes,GCNConv,2,B4,identity,20260507_092315,27,0.018885512568953412,0.09696463495492935,0.0033848711755126715
gradient_by_layer,DD,MatrixRes,GCNConv,2,B5,identity,20260507_092933,33,0.014643485298041593,0.07384072989225388,0.0023357097525149584
gradient_by_layer,DD,MatrixRes,GCNConv,2,B6,identity,20260507_093751,39,0.007286158312732975,0.057743463665246964,0.0010787543142214417
gradient_by_layer,DD,MatrixRes,GCNConv,2,B7,identity,20260507_094737,45,0.007542712839009861,0.06346254795789719,0.0010222269920632243
gradient_by_layer,DD,MatrixRes,GCNConv,2,B8,identity,20260507_095909,51,0.01860299995442962,0.15487299859523773,0.002435858128592372
gradient_by_layer,DD,MatrixRes,GCNConv,3,B1,identity,20260507_091349,9,0.06196576858767205,0.25436392426490784,0.004199105780571699
gradient_by_layer,DD,MatrixRes,GCNConv,3,B2,identity,20260507_091630,15,0.1054390245427688,0.4163794219493866,0.010372444987297058
gradient_by_layer,DD,MatrixRes,GCNConv,3,B3,identity,20260506_223325,21,0.11323560756586847,0.561208963394165,0.00980332400649786
gradient_by_layer,DD,MatrixRes,GCNConv,3,B3,identity,20260507_092104,21,0.11122320259788207,0.5508047938346863,0.00954798236489296
gradient_by_layer,DD,MatrixRes,GCNConv,3,B4,identity,20260507_092640,27,0.0952882174126528,0.4634818434715271,0.007935455068945885
gradient_by_layer,DD,MatrixRes,GCNConv,3,B5,identity,20260507_093417,33,0.026988008758053184,0.11963015049695969,0.0020447031129151583
gradient_by_layer,DD,MatrixRes,GCNConv,3,B6,identity,20260507_094314,39,0.04788185495477265,0.2166372537612915,0.0026353904977440834
gradient_by_layer,DD,MatrixRes,GCNConv,3,B7,identity,20260507_095424,45,0.016017510493596395,0.07450929284095764,0.001633370527997613
gradient_by_layer,DD,MatrixRes,GCNConv,3,B8,identity,20260507_100524,51,0.04139386058794152,0.20368775725364685,0.0016329280333593488
gradient_by_layer,DD,MatrixRes,GCNConv,4,B1,identity,20260507_091317,9,0.06699675833806396,0.24855370819568634,0.0028276308439671993
gradient_by_layer,DD,MatrixRes,GCNConv,4,B2,identity,20260507_091618,15,0.03475977731868625,0.1155054122209549,0.007341478485614061
gradient_by_layer,DD,MatrixRes,GCNConv,4,B3,identity,20260506_223318,21,0.06787552294277009,0.2506884038448334,0.002102307975292206
gradient_by_layer,DD,MatrixRes,GCNConv,4,B3,identity,20260507_092016,21,0.06782737287825771,0.2506014108657837,0.002109245862811804
gradient_by_layer,DD,MatrixRes,GCNConv,4,B4,identity,20260507_092533,27,0.016960865886950935,0.09857544302940369,0.0028979864437133074
gradient_by_layer,DD,MatrixRes,GCNConv,4,B5,identity,20260507_093247,33,0.015669812906928586,0.07184308767318726,0.002914333948865533
gradient_by_layer,DD,MatrixRes,GCNConv,4,B6,identity,20260507_094131,39,0.015526498518645382,0.0693092867732048,0.002012206707149744
gradient_by_layer,DD,MatrixRes,GCNConv,4,B7,identity,20260507_095212,45,0.021306584092477956,0.1405460685491562,0.0034094599541276693
gradient_by_layer,DD,MatrixRes,GCNConv,4,B8,identity,20260507_100319,51,0.009270077904540241,0.05966886878013611,0.001261542085558176
gradient_by_layer,DD,Plain,GCNConv,0,B3,identity,20260506_220121,20,0.005888484051683918,0.029424769803881645,0.00142863008659333
gradient_by_layer,DD,Plain,GCNConv,0,B3,identity,20260506_222425,20,0.10906348177231848,0.5068482160568237,0.009823830798268318
gradient_by_layer,DD,Plain,GCNConv,1,B3,identity,20260506_222440,20,0.016713610745500772,0.07951583713293076,0.0021021931897848845
gradient_by_layer,DD,Plain,GCNConv,2,B3,identity,20260506_222348,20,0.012014407245442272,0.03812737762928009,0.002545452443882823
gradient_by_layer,DD,Plain,GCNConv,3,B3,identity,20260506_222519,20,0.02556841015466489,0.09707538038492203,0.0019245668081566691
gradient_by_layer,DD,Plain,GCNConv,4,B3,identity,20260506_222520,20,0.009175285021774471,0.03520641103386879,0.0026232965756207705
gradient_by_layer,DD,VerticalRes,GCNConv,0,B3,identity,20260506_220142,21,0.0198415238188491,0.08217643201351166,0.0053930263966321945
gradient_by_layer,DD,VerticalRes,GCNConv,0,B3,identity,20260506_222633,21,0.05757760072481774,0.27285683155059814,0.002568639349192381
gradient_by_layer,DD,VerticalRes,GCNConv,1,B3,identity,20260506_222706,21,0.04842310299586859,0.21660850942134857,0.0018929472425952554
gradient_by_layer,DD,VerticalRes,GCNConv,2,B3,identity,20260506_222614,21,0.020112784912011454,0.10904382914304733,0.003309744643047452
gradient_by_layer,DD,VerticalRes,GCNConv,3,B3,identity,20260506_222800,21,0.029404444010218696,0.10697878152132034,0.001325052697211504
gradient_by_layer,DD,VerticalRes,GCNConv,4,B3,identity,20260506_222734,21,0.008573694071466369,0.046070992946624756,0.0013272619107738137
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_220151,27,0.007791366195306182,0.022531481459736824,0.0013450609985738993
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_223728,27,0.007791366385020039,0.022531479597091675,0.0013450609985738993
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,1,B3,identity,20260506_223737,27,0.044970553126876,0.17109765112400055,0.00990392081439495
