artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_depth,max_cka_depth,min_cka_depth
cka_depth,DD,MatrixRes,GCNConv,3,B3,identity,20260507_092104,cka_depth,0.8572243054707845,1.0,0.6073300838470459
cka_depth,DD,MatrixRes,GCNConv,3,B4,identity,20260507_092640,cka_depth,0.8629724648263719,1.0,0.6388190984725952
cka_depth,DD,MatrixRes,GCNConv,3,B5,identity,20260507_093417,cka_depth,0.8278774089283414,1.0,0.5427864193916321
cka_depth,DD,MatrixRes,GCNConv,3,B6,identity,20260507_094314,cka_depth,0.875734269618988,1.0,0.660495400428772
cka_depth,DD,MatrixRes,GCNConv,3,B7,identity,20260507_095424,cka_depth,0.9073039558198717,1.0,0.7378043532371521
cka_depth,DD,MatrixRes,GCNConv,3,B8,identity,20260507_100524,cka_depth,0.8528998891512553,1.0,0.6057798266410828
cka_depth,DD,MatrixRes,GCNConv,4,B1,identity,20260507_091317,cka_depth,0.9758333894941542,1.0000001192092896,0.9361066818237305
cka_depth,DD,MatrixRes,GCNConv,4,B2,identity,20260507_091618,cka_depth,0.9867294099595811,1.0,0.9643086791038513
cka_depth,DD,MatrixRes,GCNConv,4,B3,identity,20260506_223318,cka_depth,0.9659336341751946,1.0,0.9125693440437317
cka_depth,DD,MatrixRes,GCNConv,4,B3,identity,20260507_092016,cka_depth,0.9659366144074334,1.0,0.9125738739967346
cka_depth,DD,MatrixRes,GCNConv,4,B4,identity,20260507_092533,cka_depth,0.9775282939275106,1.0,0.9426218271255493
cka_depth,DD,MatrixRes,GCNConv,4,B5,identity,20260507_093247,cka_depth,0.979624695248074,1.0,0.9451339840888977
cka_depth,DD,MatrixRes,GCNConv,4,B6,identity,20260507_094131,cka_depth,0.9895283050007291,1.0,0.9736399054527283
cka_depth,DD,MatrixRes,GCNConv,4,B7,identity,20260507_095212,cka_depth,0.9803309705522325,1.0,0.947537899017334
cka_depth,DD,MatrixRes,GCNConv,4,B8,identity,20260507_100319,cka_depth,0.9755105972290039,1.0,0.9376527070999146
cka_depth,DD,Plain,GCNConv,0,B3,identity,20260506_220121,cka_depth,0.82123906744851,1.0,0.5594356656074524
cka_depth,DD,Plain,GCNConv,0,B3,identity,20260506_222425,cka_depth,0.7670892344580756,1.0000001192092896,0.5259974598884583
cka_depth,DD,Plain,GCNConv,1,B3,identity,20260506_222440,cka_depth,0.6613369335730871,1.0,0.2439778596162796
cka_depth,DD,Plain,GCNConv,2,B3,identity,20260506_222348,cka_depth,0.9608447949091593,1.0,0.8935009837150574
cka_depth,DD,Plain,GCNConv,3,B3,identity,20260506_222519,cka_depth,0.7807212471961975,1.0000001192092896,0.5162988305091858
cka_depth,DD,Plain,GCNConv,4,B3,identity,20260506_222520,cka_depth,0.9748173952102661,1.0,0.9282077550888062
cka_depth,DD,VerticalRes,GCNConv,0,B3,identity,20260506_220142,cka_depth,0.9188759724299113,1.0,0.7816973924636841
cka_depth,DD,VerticalRes,GCNConv,0,B3,identity,20260506_222633,cka_depth,0.8638017442491319,1.0,0.6345798373222351
cka_depth,DD,VerticalRes,GCNConv,1,B3,identity,20260506_222706,cka_depth,0.7876022789213393,1.000000238418579,0.4486461579799652
cka_depth,DD,VerticalRes,GCNConv,2,B3,identity,20260506_222614,cka_depth,0.9699820412529839,1.0,0.9146109223365784
cka_depth,DD,VerticalRes,GCNConv,3,B3,identity,20260506_222800,cka_depth,0.8523801498942905,1.0,0.6363599300384521
cka_depth,DD,VerticalRes,GCNConv,4,B3,identity,20260506_222734,cka_depth,0.9756178988350762,1.0,0.935620129108429
cka_depth,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_220151,cka_depth,0.9708184562623501,1.0,0.9118804335594177
cka_depth,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_223728,cka_depth,0.9708184450864792,1.0,0.911880373954773
cka_depth,ENZYMES,HorizontalRes,GCNConv,1,B3,identity,20260506_223737,cka_depth,0.9138094857335091,1.0,0.7582502365112305
cka_depth,ENZYMES,HorizontalRes,GCNConv,2,B3,identity,20260506_223811,cka_depth,0.8275410123169422,1.0,0.48731574416160583
cka_depth,ENZYMES,HorizontalRes,GCNConv,3,B3,identity,20260506_223816,cka_depth,0.9247174374759197,1.0,0.7782996296882629
cka_depth,ENZYMES,HorizontalRes,GCNConv,4,B3,identity,20260506_223800,cka_depth,0.9054035134613514,1.0,0.7072851061820984
cka_depth,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_220157,cka_depth,0.9161791764199734,1.000000238418579,0.7326991558074951
cka_depth,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_224002,cka_depth,0.9594044014811516,1.0,0.8763584494590759
cka_depth,ENZYMES,MatrixResGated,GCNConv,1,B3,sparse,20260506_224037,cka_depth,0.9095830619335175,1.0,0.7079064846038818
cka_depth,ENZYMES,MatrixResGated,GCNConv,2,B3,sparse,20260506_224110,cka_depth,0.9140333756804466,1.0000001192092896,0.7402023077011108
cka_depth,ENZYMES,MatrixResGated,GCNConv,3,B3,sparse,20260506_224126,cka_depth,0.8995317220687866,1.0,0.7076561450958252
cka_depth,ENZYMES,MatrixResGated,GCNConv,4,B3,sparse,20260506_224123,cka_depth,0.9234289452433586,1.0,0.7624513506889343
cka_depth,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_220155,cka_depth,0.9434061348438263,1.0,0.8211190104484558
cka_depth,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_223827,cka_depth,0.9769440293312073,1.0,0.9310517907142639
cka_depth,ENZYMES,MatrixRes,GCNConv,1,B3,identity,20260506_223930,cka_depth,0.893417477607727,1.0,0.6515004634857178
cka_depth,ENZYMES,MatrixRes,GCNConv,2,B3,identity,20260506_223933,cka_depth,0.9329651072621346,1.0,0.7800390720367432
cka_depth,ENZYMES,MatrixRes,GCNConv,3,B3,identity,20260506_223939,cka_depth,0.9550466388463974,1.0,0.8679265379905701
cka_depth,ENZYMES,MatrixRes,GCNConv,4,B3,identity,20260506_224018,cka_depth,0.9623201116919518,1.0,0.8836244940757751
cka_depth,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_220147,cka_depth,0.9848414547741413,1.0,0.9608868956565857
cka_depth,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_223546,cka_depth,0.97171725705266,1.0,0.9038709998130798
cka_depth,ENZYMES,Plain,GCNConv,1,B3,identity,20260506_223611,cka_depth,0.8643010333180428,1.0,0.5923335552215576
cka_depth,ENZYMES,Plain,GCNConv,2,B3,identity,20260506_223636,cka_depth,0.8083698786795139,1.0,0.45641669631004333
cka_depth,ENZYMES,Plain,GCNConv,3,B3,identity,20260506_223642,cka_depth,0.9639667756855488,1.0,0.8996638059616089
cka_depth,ENZYMES,Plain,GCNConv,4,B3,identity,20260506_223630,cka_depth,0.9218089021742344,1.0,0.7573813796043396
cka_depth,ENZYMES,VerticalRes,GCNConv,0,B3,identity,20260506_220153,cka_depth,0.9890427701175213,1.0,0.9660256505012512
